CH4 Date,CH4 Value
1010-01-01,667
1015-01-01,669
1020-01-01,670
1025-01-01,672
1030-01-01,673
1035-01-01,674
1040-01-01,675
1045-01-01,676
1050-01-01,677
1055-01-01,677
1060-01-01,678
1065-01-01,678
1070-01-01,678
1075-01-01,677
1080-01-01,677
1085-01-01,677
1090-01-01,677
1095-01-01,677
1100-01-01,678
1105-01-01,678
1110-01-01,679
1115-01-01,680
1120-01-01,681
1125-01-01,682
1130-01-01,683
1135-01-01,684
1140-01-01,684
1145-01-01,685
1150-01-01,686
1155-01-01,687
1160-01-01,687
1165-01-01,687
1170-01-01,687
1175-01-01,687
1180-01-01,686
1185-01-01,686
1190-01-01,685
1195-01-01,683
1200-01-01,682
1205-01-01,680
1210-01-01,678
1215-01-01,676
1220-01-01,673
1225-01-01,671
1230-01-01,669
1235-01-01,667
1240-01-01,665
1245-01-01,663
1250-01-01,662
1255-01-01,661
1260-01-01,661
1265-01-01,660
1270-01-01,661
1275-01-01,661
1280-01-01,662
1285-01-01,662
1290-01-01,663
1295-01-01,664
1300-01-01,666
1305-01-01,667
1310-01-01,668
1315-01-01,669
1320-01-01,670
1325-01-01,671
1330-01-01,673
1335-01-01,673
1340-01-01,674
1345-01-01,675
1350-01-01,675
1355-01-01,676
1360-01-01,676
1365-01-01,677
1370-01-01,677
1375-01-01,677
1380-01-01,677
1385-01-01,678
1390-01-01,678
1395-01-01,678
1400-01-01,678
1405-01-01,679
1410-01-01,679
1415-01-01,679
1420-01-01,679
1425-01-01,679
1430-01-01,679
1435-01-01,679
1440-01-01,679
1445-01-01,678
1450-01-01,678
1455-01-01,677
1460-01-01,677
1465-01-01,677
1470-01-01,677
1475-01-01,679
1480-01-01,681
1485-01-01,683
1490-01-01,686
1495-01-01,688
1500-01-01,691
1505-01-01,693
1510-01-01,695
1515-01-01,697
1520-01-01,699
1525-01-01,700
1530-01-01,701
1535-01-01,701
1540-01-01,701
1545-01-01,701
1550-01-01,699
1555-01-01,696
1560-01-01,693
1565-01-01,690
1570-01-01,686
1575-01-01,682
1580-01-01,678
1585-01-01,674
1590-01-01,672
1595-01-01,670
1600-01-01,670
1605-01-01,670
1610-01-01,671
1615-01-01,672
1620-01-01,673
1625-01-01,674
1630-01-01,675
1635-01-01,676
1640-01-01,677
1645-01-01,678
1650-01-01,679
1655-01-01,680
1660-01-01,682
1665-01-01,683
1670-01-01,684
1675-01-01,684
1680-01-01,684
1685-01-01,683
1690-01-01,681
1695-01-01,679
1700-01-01,678
1705-01-01,677
1710-01-01,676
1715-01-01,676
1720-01-01,676
1725-01-01,678
1730-01-01,680
1735-01-01,683
1740-01-01,686
1745-01-01,690
1750-01-01,694
1755-01-01,697
1760-01-01,701
1765-01-01,704
1770-01-01,707
1775-01-01,710
1780-01-01,713
1785-01-01,716
1790-01-01,720
1795-01-01,723
1800-01-01,727
1805-01-01,731
1810-01-01,735
1815-01-01,740
1820-01-01,745
1825-01-01,749
1830-01-01,754
1835-01-01,759
1840-01-01,763
1845-01-01,768
1850-01-01,774
1855-01-01,780
1860-01-01,787
1865-01-01,795
1870-01-01,802
1875-01-01,811
1880-01-01,819
1885-01-01,828
1890-01-01,838
1895-01-01,851
1900-01-01,865
1905-01-01,883
1910-01-01,903
1915-01-01,926
1920-01-01,950
1925-01-01,976
1930-01-01,1001
1935-01-01,1026
1940-01-01,1053
1945-01-01,1081
1950-01-01,1116
1955-01-01,1159
1960-01-01,1211
1965-01-01,1272
1970-01-01,1340
1975-01-01,1411
1980-01-01,1482
1983-07-01,1625.4
1983-08-01,1625.9
1983-09-01,1636.2
1983-10-01,1644.6
1983-11-01,1643
1983-12-01,1639.7
1984-01-01,1638.7
1984-02-01,1638.1
1984-03-01,1639.6
1984-04-01,1643.3
1984-05-01,1643.2
1984-06-01,1639.7
1984-07-01,1637.8
1984-08-01,1640.6
1984-09-01,1649.3
1984-10-01,1654.5
1984-11-01,1653.7
1984-12-01,1656
1985-01-01,1656.4
1985-02-01,1652.7
1985-03-01,1654.1
1985-04-01,1657.9
1985-05-01,1656.3
1985-06-01,1650.3
1985-07-01,1646.2
1985-08-01,1651
1985-09-01,1661.8
1985-10-01,1667.6
1985-11-01,1667
1985-12-01,1666.2
1986-01-01,1666.4
1986-02-01,1666.9
1986-03-01,1669.1
1986-04-01,1670.8
1986-05-01,1668.5
1986-06-01,1664.9
1986-07-01,1662.4
1986-08-01,1663.4
1986-09-01,1670.9
1986-10-01,1678
1986-11-01,1678.8
1986-12-01,1677.9
1987-01-01,1677.2
1987-02-01,1676.8
1987-03-01,1678.5
1987-04-01,1680.8
1987-05-01,1681.8
1987-06-01,1680.3
1987-07-01,1676.1
1987-08-01,1676.3
1987-09-01,1684.2
1987-10-01,1690.8
1987-11-01,1691.3
1987-12-01,1690.3
1988-01-01,1690.4
1988-02-01,1690.7
1988-03-01,1690.8
1988-04-01,1690.4
1988-05-01,1689.8
1988-06-01,1688
1988-07-01,1686.2
1988-08-01,1689.1
1988-09-01,1695.9
1988-10-01,1701.5
1988-11-01,1703.1
1988-12-01,1702.2
1989-01-01,1699.8
1989-02-01,1699.7
1989-03-01,1701.5
1989-04-01,1703.2
1989-05-01,1703.6
1989-06-01,1700.9
1989-07-01,1698.4
1989-08-01,1701.2
1989-09-01,1706.5
1989-10-01,1710.2
1989-11-01,1712.2
1989-12-01,1711.9
1990-01-01,1711
1990-02-01,1712.3
1990-03-01,1713.3
1990-04-01,1712.5
1990-05-01,1711
1990-06-01,1708.6
1990-07-01,1706.1
1990-08-01,1709
1990-09-01,1716.5
1990-10-01,1721.6
1990-11-01,1723.2
1990-12-01,1723
1991-01-01,1720.9
1991-02-01,1720.5
1991-03-01,1721.4
1991-04-01,1722.2
1991-05-01,1722.7
1991-06-01,1719.7
1991-07-01,1715.8
1991-08-01,1718
1991-09-01,1725
1991-10-01,1732.3
1991-11-01,1737.5
1991-12-01,1739.9
1992-01-01,1739.4
1992-02-01,1737.3
1992-03-01,1736.3
1992-04-01,1736.2
1992-05-01,1735.3
1992-06-01,1732
1992-07-01,1728.6
1992-08-01,1729.3
1992-09-01,1733.3
1992-10-01,1737.3
1992-11-01,1739.4
1992-12-01,1738.9
1993-01-01,1735.5
1993-02-01,1734
1993-03-01,1735.3
1993-04-01,1736.7
1993-05-01,1734.9
1993-06-01,1730.9
1993-07-01,1728.2
1993-08-01,1730.5
1993-09-01,1737.4
1993-10-01,1742.8
1993-11-01,1745.2
1993-12-01,1744.6
1994-01-01,1741.1
1994-02-01,1740.4
1994-03-01,1741.7
1994-04-01,1741.9
1994-05-01,1740.8
1994-06-01,1737.2
1994-07-01,1732.5
1994-08-01,1733.2
1994-09-01,1741.5
1994-10-01,1749.3
1994-11-01,1751.2
1994-12-01,1751.2
1995-01-01,1751
1995-02-01,1749.7
1995-03-01,1749.1
1995-04-01,1749.3
1995-05-01,1747.8
1995-06-01,1743
1995-07-01,1739.7
1995-08-01,1742.7
1995-09-01,1748.9
1995-10-01,1753.9
1995-11-01,1755.5
1995-12-01,1753.9
1996-01-01,1752.1
1996-02-01,1752.9
1996-03-01,1752.3
1996-04-01,1749.3
1996-05-01,1747.7
1996-06-01,1745.8
1996-07-01,1741.8
1996-08-01,1743
1996-09-01,1751.1
1996-10-01,1758.8
1996-11-01,1760
1996-12-01,1757
1997-01-01,1753.1
1997-02-01,1753.7
1997-03-01,1755.2
1997-04-01,1755
1997-05-01,1753.6
1997-06-01,1750.1
1997-07-01,1746.1
1997-08-01,1747.5
1997-09-01,1754.5
1997-10-01,1760.1
1997-11-01,1761.9
1997-12-01,1761.8
1998-01-01,1761
1998-02-01,1761.2
1998-03-01,1762.5
1998-04-01,1764.3
1998-05-01,1764.4
1998-06-01,1760.8
1998-07-01,1756.3
1998-08-01,1759.3
1998-09-01,1769.4
1998-10-01,1775.7
1998-11-01,1775.6
1998-12-01,1774.2
1999-01-01,1773.7
1999-02-01,1773.5
1999-03-01,1774
1999-04-01,1774.6
1999-05-01,1772.5
1999-06-01,1767.3
1999-07-01,1763
1999-08-01,1764.1
1999-09-01,1770.1
1999-10-01,1776
1999-11-01,1777.9
1999-12-01,1776.9
2000-01-01,1775.7
2000-02-01,1775.6
2000-03-01,1776.1
2000-04-01,1776.9
2000-05-01,1774.9
2000-06-01,1768.5
2000-07-01,1763.4
2000-08-01,1765.2
2000-09-01,1771.6
2000-10-01,1777.3
2000-11-01,1777.9
2000-12-01,1775.4
2001-01-01,1772.89
2001-02-01,1772.5
2001-03-01,1773.65
2001-04-01,1773.89
2001-05-01,1770.86
2001-06-01,1766.1
2001-07-01,1763.05
2001-08-01,1764.49
2001-09-01,1770.44
2001-10-01,1775.52
2001-11-01,1776.56
2001-12-01,1775.92
2002-01-01,1774.13
2002-02-01,1772.84
2002-03-01,1773.41
2002-04-01,1772.76
2002-05-01,1770.27
2002-06-01,1766.88
2002-07-01,1764.28
2002-08-01,1766.96
2002-09-01,1773.75
2002-10-01,1778.28
2002-11-01,1779.48
2002-12-01,1779.64
2003-01-01,1777.56
2003-02-01,1774.82
2003-03-01,1774.84
2003-04-01,1775.82
2003-05-01,1774.44
2003-06-01,1771.68
2003-07-01,1770.73
2003-08-01,1774.28
2003-09-01,1780.55
2003-10-01,1784.71
2003-11-01,1785.27
2003-12-01,1783.55
2004-01-01,1780.75
2004-02-01,1779.66
2004-03-01,1780.92
2004-04-01,1780.89
2004-05-01,1777.72
2004-06-01,1772.43
2004-07-01,1768.18
2004-08-01,1769.96
2004-09-01,1775.87
2004-10-01,1780.1
2004-11-01,1780.52
2004-12-01,1778.16
2005-01-01,1776.15
2005-02-01,1775.74
2005-03-01,1775.58
2005-04-01,1774.81
2005-05-01,1772.49
2005-06-01,1768.8
2005-07-01,1766.43
2005-08-01,1768.14
2005-09-01,1773.23
2005-10-01,1778.61
2005-11-01,1781.24
2005-12-01,1780.25
2006-01-01,1779.54
2006-02-01,1779.46
2006-03-01,1777.39
2006-04-01,1776.14
2006-05-01,1774.9
2006-06-01,1769.23
2006-07-01,1764.19
2006-08-01,1767.22
2006-09-01,1774.58
2006-10-01,1778.27
2006-11-01,1779.02
2006-12-01,1779.91
2007-01-01,1779.27
2007-02-01,1778.66
2007-03-01,1780.26
2007-04-01,1781.04
2007-05-01,1779.26
2007-06-01,1775.47
2007-07-01,1772.68
2007-08-01,1777.31
2007-09-01,1785.86
2007-10-01,1789.71
2007-11-01,1789.31
2007-12-01,1788.07
2008-01-01,1786.72
2008-02-01,1785.8
2008-03-01,1786.16
2008-04-01,1786.91
2008-05-01,1785.19
2008-06-01,1780.46
2008-07-01,1777.66
2008-08-01,1781.03
2008-09-01,1787.65
2008-10-01,1793.7
2008-11-01,1797.29
2008-12-01,1796.57
2009-01-01,1795.07
2009-02-01,1795.57
2009-03-01,1795.93
2009-04-01,1795.57
2009-05-01,1792.38
2009-06-01,1786.95
2009-07-01,1785.08
2009-08-01,1788.9
2009-09-01,1794.81
2009-10-01,1798.03
2009-11-01,1797.84
2009-12-01,1796.73
2010-01-01,1797.38
2010-02-01,1798.95
2010-03-01,1799.49
2010-04-01,1799.63
2010-05-01,1797.61
2010-06-01,1792.4
2010-07-01,1789.31
2010-08-01,1793.98
2010-09-01,1801.92
2010-10-01,1806.75
2010-11-01,1807.06
2010-12-01,1803.27
2011-01-01,1800
2011-02-01,1800.01
2011-03-01,1801.03
2011-04-01,1802.84
2011-05-01,1803.11
2011-06-01,1798.99
2011-07-01,1796.07
2011-08-01,1798.97
2011-09-01,1804.16
2011-10-01,1809.62
2011-11-01,1812.3
2011-12-01,1810.03
2012-01-01,1807.45
2012-02-01,1808.37
2012-03-01,1810.05
2012-04-01,1808.53
2012-05-01,1804.82
2012-06-01,1801.04
2012-07-01,1799.38
2012-08-01,1803.28
2012-09-01,1810.16
2012-10-01,1814.88
2012-11-01,1815.94
2012-12-01,1814.55
2013-01-01,1814.07
2013-02-01,1814.13
2013-03-01,1813.25
2013-04-01,1812.86
2013-05-01,1811.92
2013-06-01,1808.58
2013-07-01,1806
2013-08-01,1808.51
2013-09-01,1814.24
2013-10-01,1818.53
2013-11-01,1820.32
2013-12-01,1819.32
2014-01-01,1816.77
2014-02-01,1816.25
2014-03-01,1818.06
2014-04-01,1820.9
2014-05-01,1821.93
2014-06-01,1818.46
2014-07-01,1815.78
2014-08-01,1819.86
2014-09-01,1826.87
2014-10-01,1831.25
2014-11-01,1832.98
2014-12-01,1833.46
2015-01-01,1833.13
2015-02-01,1832.94
2015-03-01,1833.19
2015-04-01,1833.17
2015-05-01,1831.5
2015-06-01,1827.11
2015-07-01,1824.6
2015-08-01,1828.95
2015-09-01,1836.21
2015-10-01,1841.51
2015-11-01,1844.52
2015-12-01,1844.73
2016-01-01,1842.54
2016-02-01,1841.72
2016-03-01,1843.04
2016-04-01,1843.76
2016-05-01,1842.13
2016-06-01,1837.89
2016-07-01,1834.28
2016-08-01,1836.81
2016-09-01,1844.33
2016-10-01,1849.98
2016-11-01,1851.45
2016-12-01,1851.05
2017-01-01,1849.75
2017-02-01,1848.48
2017-03-01,1848.24
2017-04-01,1848.59
2017-05-01,1847.2
2017-06-01,1842.89
2017-07-01,1840.24
2017-08-01,1844.56
2017-09-01,1852.75
2017-10-01,1858.05
2017-11-01,1858.59
2017-12-01,1856.59
2018-01-01,1854.55
2018-02-01,1855.06
2018-03-01,1856.97
2018-04-01,1856.76
2018-05-01,1854.7
2018-06-01,1851.85
2018-07-01,1849.07
2018-08-01,1851.92
2018-09-01,1860.46
2018-10-01,1865.77
2018-11-01,1866.24
2018-12-01,1866.02
2019-01-01,1865.02
2019-02-01,1865.01
2019-03-01,1866.3
2019-04-01,1865.35
2019-05-01,1861.95
2019-06-01,1858.56
2019-07-01,1858.01
2019-08-01,1862.85
2019-09-01,1870.79
2019-10-01,1875.44
2019-11-01,1875.6
2019-12-01,1874.61
2020-01-01,1872.93
2020-02-01,1872.28
2020-03-01,1874.37
2020-04-01,1875.8
2020-05-01,1874.39
2020-06-01,1871.97
2020-07-01,1871.49
2020-08-01,1876.37
2020-09-01,1884.56
2020-10-01,1890.02
2020-11-01,1891.46
2020-12-01,1890.96
2021-01-01,1888.63
2021-02-01,1886.64
2021-03-01,1887.99
2021-04-01,1890.82
2021-05-01,1891.27
2021-06-01,1888.08
2021-07-01,1886.01
2021-08-01,1892.3
2021-09-01,1902.43
2021-10-01,1907.94
2021-11-01,1909.21
2021-12-01,1907.95
2022-01-01,1906.34
2022-02-01,1906.4
2022-03-01,1907.77
2022-04-01,1908.86
2022-05-01,1907.47
2022-06-01,1904.83
2022-07-01,1904.02
2022-08-01,1908.29
2022-09-01,1915.04
2022-10-01,1919.47
2022-11-01,1922.1
2022-12-01,1921.93
2023-01-01,1919.91
2023-02-01,1918.91
2023-03-01,1918.74
2023-04-01,1919.78
2023-05-01,1919.14
2023-06-01,1915.07
2023-07-01,1912.91
2023-08-01,1916.52
2023-09-01,1924.36
2023-10-01,1930.29
2023-11-01,1931.59
2023-12-01,1931.15
2024-01-01,1928.4
2024-02-01,1925.93
2024-03-01,1927.39
2024-04-01,1928.83
2024-05-01,1925.65
2024-06-01,1921.33
2024-07-01,1920.39
2024-08-01,1924.88
2024-09-01,1934.53
2024-10-01,1940.99
2024-11-01,1940.02
2024-12-01,1937.32
2025-01-01,1935.35
2025-02-01,1933.95
2025-03-01,1933.8
2025-04-01,1934.56
2025-05-01,1933.25
2025-06-01,1929.51
2025-07-01,1927.61
